Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,First_diff,Nifty_Open,Nifty_High,Nifty_Low,Nifty_Close
23-08-2000,RELIANCE,EQ,338.3,341.7,346,338.55,339.5,339.55,342.65,5423766,1.86E+14,3.27,1381.6,1398.90,1376.90,1386.00
24-08-2000,RELIANCE,EQ,339.55,339,340.75,334,335.95,335.6,336.59,3300159,1.11E+14,-6.06,1386.3,1390.45,1374.90,1386.90
25-08-2000,RELIANCE,EQ,335.6,336.5,338.4,331.25,333.8,333.6,334.46,1655254,5.54E+13,-2.13,1387.35,1396.10,1377.75,1381.20
28-08-2000,RELIANCE,EQ,333.6,333.5,335,331.6,332.25,332.2,333.18,1190817,3.97E+13,-1.28,1379.6,1383.45,1368.25,1369.80
29-08-2000,RELIANCE,EQ,332.2,331.3,334.5,329.3,330.9,330.4,331.56,2165046,7.18E+13,-1.62,1368.65,1373.55,1360.65,1367.70
30-08-2000,RELIANCE,EQ,330.4,334.75,338.8,331.6,335.9,336.9,335.71,3066115,1.03E+14,4.15,1369.9,1384.85,1369.80,1375.90
31-08-2000,RELIANCE,EQ,336.9,338.5,340.8,335.05,336.45,336.55,338.31,2740898,9.27E+13,2.6,1376.5,1397.30,1375.90,1394.10
04-09-2000,RELIANCE,EQ,336.55,338.9,356.75,338.25,356.05,353.9,349.84,7875701,2.76E+14,11.53,1395.95,1433.15,1395.95,1427.70
05-09-2000,RELIANCE,EQ,353.9,357,359.6,352.25,356.5,355.75,355.55,3634270,1.29E+14,5.71,1428.05,1434.65,1420.90,1428.20
06-09-2000,RELIANCE,EQ,355.75,356,365.9,352,362,363.6,361.2,9780431,3.53E+14,5.65,1430.9,1444.45,1421.00,1435.30
